name,cik,ticker,founding_date,s1_filing_date,status,primary_disease_area,disease_areas,modality_category,modality_subtype,modality_details,targets,lead_stage,pipeline_summary,extraction_source,acquirer,cagr_pct,city,current_price,exchange,exit_date,exit_details,exit_type,market_cap,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct,sic_code,state
MultiVir Inc.,0001613490,,2009-01-01,2015-03-30,ipo_withdrawn,oncology,oncology,other,gene_therapy,"gene_therapy,oncolytic_virus","p53,IL24,ADP,Rb,IL12",phase_1,"Develops gene therapy and oncolytic viral technologies using adenovirus, herpes simplex virus, and vaccinia virus platforms to deliver tumor suppressor genes for cancer treatment.",s1_filing,,,HOUSTON,,,2015-05-27,,ipo_withdrawn,,,,,,,,,,,,2834,TX
"MyoKardia, Inc.",0001552451,,2012-06-01,2015-09-28,acquired,cardiovascular,"cardiovascular,rare_disease",small_molecule,small_molecule,small_molecule,"cardiac muscle contractility,sarcomere proteins,myosin,actin",phase_2,Develops precision medicine small molecule therapies targeting biomechanical defects in cardiac muscle contraction for rare heritable cardiomyopathies including hypertrophic cardiomyopathy (HCM) and dilated cardiomyopathy (DCM).,s1_filing,,,BRISBANE,,,2020-11-17,,acquired,,,,,,,,,,,,2834,CA
Myovant Sciences Ltd.,0001679082,,2016-02-01,2016-09-30,acquired,women_health,"women_health,oncology,endocrine",both,small_molecule,"small_molecule,peptide","GnRH,kisspeptin",phase_2,"Develops oral GnRH receptor antagonist relugolix for women's health conditions including uterine fibroids and endometriosis, as well as advanced prostate cancer, and kisspeptin analog RVT-602 for female infertility.",s1_filing,"GTT Communications, Inc.",,LONDON,,,2023-01-23,,acquired,,,,,,,,,,,,2834,X0
NANOMIX Corp,0001473579,,2009-08-24,2010-02-08,ipo_withdrawn,infectious_disease,"infectious_disease,metabolic",other,diagnostic_platform,"diagnostic_platform,carbohydrate_formulations",,approved,"Develops a proprietary point-of-care diagnostic platform (eLab System) for rapid testing of various medical conditions, with CE Mark approval and FDA submissions for COVID-19 antigen testing.",s1_filing,,,LAWRENCE,,,2016-07-13,,ipo_withdrawn,,,,,,,,,,,,2834,MA
"NANOVIRICIDES, INC.",0001379006,NNVC,2005-05-01,2019-09-27,trading,infectious_disease,"infectious_disease,ophthalmology,dermatology",other,nanoparticle,nanoparticle,"HSV-1,HSV-2,VZV,HIV,Influenza",preclinical,"Develops nano-biopharmaceutical anti-viral therapeutics using a 'bind-encapsulate-destroy' technology platform, with primary focus on HerpeCide programs for herpes viruses including topical treatments for HSV-1, HSV-2, and VZV.",s1_filing,,-16.5,SHELTON,0.9,ASE,,,,19411586,7406,2005-10-26,35.0,2026-02-04,0.9,2006-03-20,245.0,600.0,0.9,-97.4,2834,CT
Nascent Biotech Inc.,0001622057,,2014-03-03,2019-09-19,delisted,oncology,oncology,biologic,antibody,antibody,,phase_2,"Develops monoclonal antibodies for the treatment of various forms of cancer, with lead asset Pritumumab targeting brain cancer and pancreatic cancer.",s1_filing,,,NORTH PALM BEACH,,,2025-04-01,,delisted,,,,,,,,,,,,2834,FL
"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NTHI,2005-04-13,2023-12-18,trading,cns,"cns,oncology",small_molecule,small_molecule,small_molecule,,phase_2,Develops novel small molecule drug candidates with specialized delivery methods for treating intracranial malignancies including glioblastoma and brain metastases from other cancers.,s1_filing,,-24.7,CALABASAS,9.4793,NGM,,,,227226320,315,2025-03-26,12.11,2026-02-04,9.48,2025-03-28,16.55,36.7,3.35,-21.7,2834,CA
"Neos Therapeutics, Inc.",0001467652,,2007-01-01,2015-06-19,acquired,cns,cns,small_molecule,small_molecule,small_molecule,"amphetamine,methylphenidate",approved,"Develops extended-release, patient-friendly formulations of ADHD medications using proprietary modified-release drug delivery technology in orally disintegrating tablets and liquid suspension forms.",s1_filing,Innovus Pharmaceuticals,,GRAND PRAIRIE,,,2021-02-09,,acquired,,,,,,,,,,,,2834,TX
"NeuBase Therapeutics, Inc.",0001173281,,2009-08-04,2023-07-28,delisted,,,,,,,,,,,,PITTSBURGH,,,2025-01-13,,delisted,,,,,,,,,,,,2834,PA
Neurogene Inc.,0001404644,NGNE,2003-12-01,2014-01-28,trading,,,,,,,,,,,-19.7,NEW YORK,17.42,NGM,,,,269832320,4352,2014-03-07,239.0,2026-02-04,17.42,2015-08-14,442.6,85.2,7.34,-92.7,2834,NY
NeurogesX Inc,0001385830,,2000-01-01,2007-02-07,acquired,cns,cns,small_molecule,small_molecule,small_molecule,capsaicin receptor,phase_3,Develops high-concentration synthetic capsaicin-based topical therapies for chronic peripheral neuropathic pain conditions including postherpetic neuralgia and HIV-related neuropathy.,s1_filing,,,SAN MATEO,,,2011-12-20,,acquired,,,,,,,,,,,,2834,CA
"NEUROPATHIX, INC.",0001615999,,2013-03-25,2014-08-21,unknown,cns,"cns,oncology,dermatology,gastroenterology",small_molecule,small_molecule,small_molecule,"CBD,cannabinoids",preclinical,"Develops non-opioid cannabinoid-based therapeutics including synthetic CBD formulations for neurological disorders such as chemotherapy-induced peripheral neuropathy, traumatic brain injury, and hepatic encephalopathy.",s1_filing,,,DOYLESTOWN,,,,,unknown,,,,,,,,,,,,2834,PA
"Neurotrope, Inc.",0001513856,,2011-01-11,2011-03-07,acquired,cns,"cns,rare_disease",small_molecule,small_molecule,small_molecule,PKC epsilon,phase_2,"Develops bryostatin, a small molecule targeting protein kinase C epsilon, for the treatment of Alzheimer's disease and other neurodegenerative disorders including Fragile X Syndrome and Niemann-Pick Type C.",s1_filing,"Neurotrope, referred to as Neurotrope BioSciences, Inc.",,NEW YORK,,,2020-11-02,,acquired,,,,,,,,,,,,2834,NY
"NexImmune, Inc.",0001538210,NEXI,2011-06-01,2021-01-19,trading,oncology,"oncology,hematology,immunology,infectious_disease",other,cell_therapy,cell_therapy,,phase_1,"Develops adoptive T cell therapies using proprietary AIM nanoparticle technology to create synthetic dendritic cells that activate natural T cells for cancer treatment, with lead programs in acute myeloid leukemia and multiple myeloma.",s1_filing,,,GAITHERSBURG,0.0001,PNK,,,,139,1817,2021-02-12,633.25,2026-02-03,0.0,2021-02-26,647.75,2.3,0.0,-100.0,2834,MD
"NextCure, Inc.",0001661059,NXTC,2015-09-01,2019-04-12,trading,oncology,"oncology,immunology,cns",biologic,antibody,antibody,"Siglec-15,LAIR-1,PD-L1,PD-1,CTLA-4",phase_2,Develops first-in-class immunomedicine antibodies targeting novel immune checkpoint receptors like Siglec-15 and LAIR-1 for cancer and immune-related diseases.,s1_filing,,-36.3,BELTSVILLE,11.4,NMS,,,,39964080,2463,2019-05-09,238.8,2026-02-04,11.4,2019-11-05,1106.64,363.4,3.24,-95.2,2834,MD
NEXUS BIOPHARMA INC,0001424151,,2007-07-17,2008-04-24,unknown,,,,,,,,,,,,HOUSTON,,,,,unknown,,,,,,,,,,,,2834,TX
Nexvet Biopharma plc,0001618561,,2010-02-01,2014-12-30,acquired,immunology,"immunology,oncology,dermatology",biologic,antibody,"antibody,protein","NGF,TNF",phase_3,"Develops species-specific monoclonal antibodies and biologics for companion animals using their proprietary PETization platform, focusing on pain management and inflammatory diseases in dogs and cats.",s1_filing,,,"TULLAMORE , CO. OFFALY",,,2017-06-02,,acquired,,,,,,,,,,,,2834,L2
NGM BIOPHARMACEUTICALS INC,0001426332,,2007-12-01,2018-09-28,acquired,metabolic,"metabolic,gastroenterology,oncology,ophthalmology",biologic,protein,"protein,antibody","FGF19,FGFR1c/KLB,GDF15,GFRAL",phase_2,"Develops engineered protein and antibody therapeutics targeting hormone pathways for metabolic diseases including NASH, diabetes, and obesity, with their lead candidate NGM282 in Phase 2 for NASH treatment.",s1_filing,,,SOUTH SAN FRANCISCO,,,2024-04-05,,acquired,,,,,,,,,,,,2834,CA
"Nkarta, Inc.",0001787400,NKTX,2015-07-01,2020-06-19,trading,oncology,"oncology,hematology",other,cell_therapy,"cell_therapy,car_nk","NKG2D,CD19",phase_1,"Develops allogeneic, off-the-shelf CAR-NK cell therapies targeting various cancers including blood cancers and solid tumors with lead candidates NKX101 and NKX019.",s1_filing,,-43.1,SOUTH SAN FRANCISCO,2.055,NMS,,,,145965648,2035,2020-07-10,47.9,2026-02-04,2.06,2020-12-23,75.62,57.9,1.31,-95.7,2834,CA
"Notable Labs, Ltd.",0001603207,,2014-06-01,2024-06-20,ipo_withdrawn,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,PLK-1,phase_2,"Develops predictive medicines for cancer patients using a proprietary platform to identify responsive patients, with lead candidate Volasertib targeting PLK-1 for acute myeloid leukemia",s1_filing,,,FOSTER CITY,,,2024-01-08,,ipo_withdrawn,,,,,,,,,,,,2834,CA
"NRX Pharmaceuticals, Inc.",0001719406,NRXP,2017-09-18,2017-10-13,trading,cns,cns,small_molecule,small_molecule,small_molecule,NMDA,phase_3,"Develops NMDA receptor modulators for central nervous system disorders including suicidal depression, chronic pain, PTSD, and schizophrenia with two lead candidates expected for FDA submission.",s1_filing,,-38.2,WILMINGTON,1.89,NCM,,,,55953732,2984,2017-12-04,96.0,2026-02-04,1.89,2021-02-02,627.1,553.2,1.16,-98.0,2834,DE
NUPATHE INC.,0001375200,,2005-01-01,2010-05-14,acquired,cns,cns,other,transdermal_delivery,transdermal_delivery,sumatriptan,phase_3,"Develops transdermal patch delivery systems for CNS disorders, with lead candidate NP101 delivering sumatriptan for acute migraine treatment using proprietary SmartRelief iontophoresis technology.",s1_filing,,,MALVERN,,,2014-02-21,,acquired,,,,,,,,,,,,2834,PA
"Nurix Therapeutics, Inc.",0001549595,NRIX,2009-01-01,2020-07-02,trading,oncology,"oncology,immunology,hematology,infectious_disease",small_molecule,small_molecule,small_molecule,"BTK,CBL-B,E3 ligases,cereblon,von Hippel-Lindau",phase_1,Develops small molecule therapies that modulate cellular protein levels by targeting E3 ligases for protein degradation or inhibition to treat cancer and other challenging diseases.,s1_filing,,-2.6,BRISBANE,16.425,NGM,,,,1689196288,2021,2020-07-24,19.01,2026-02-04,16.42,2021-01-19,50.17,163.9,4.25,-13.6,2834,CA
"Nuvalent, Inc.",0001861560,NUVL,2017-01-01,2021-07-07,trading,oncology,"oncology,cns",small_molecule,small_molecule,small_molecule,"ROS1,ALK",preclinical,"Develops brain-penetrant small molecule kinase inhibitors targeting ROS1 and ALK for patients with cancer, particularly non-small cell lung cancer and other solid tumors with brain metastases.",s1_filing,,46.3,CAMBRIDGE,104.835,NMS,,,,7622208000,1651,2021-07-29,18.75,2026-02-04,104.83,2024-09-16,112.17,498.2,7.4,459.1,2834,MA
Nuvation Bio Inc.,0001811063,NUVB,2020-04-01,2020-06-12,trading,oncology,"oncology,cns",both,small_molecule,"small_molecule,drug_drug_conjugate",,phase_1,"Develops differentiated small molecules and drug-drug conjugates for oncology targets, with lead candidate in Phase 1/2 trial for high-grade glioma.",s1_filing,,-9.5,NEW YORK,5.645,NYQ,,,,1935294720,1988,2020-08-26,9.7,2026-02-04,5.64,2021-03-19,14.57,50.2,0.96,-41.8,2834,NY
"Nuvectis Pharma, Inc.",0001875558,NVCT,2020-01-01,2021-10-06,trading,oncology,oncology,small_molecule,small_molecule,small_molecule,"HSF1,SRC,YES1,ARID1A",phase_1,"Develops novel targeted small molecule therapeutics for genetically defined cancer patient populations, focusing on precision medicine approaches with HSF1 pathway inhibitors and SRC/YES1 kinase inhibitors.",s1_filing,,26.4,FORT LEE,8.3,NCM,,,,212603648,1461,2022-02-04,3.25,2026-02-04,8.3,2022-05-17,20.44,528.9,3.25,155.4,2834,NJ
"NVN Liquidation, Inc.",0001467154,,2006-01-01,2016-08-24,unknown,dermatology,"dermatology,infectious_disease,gastroenterology",small_molecule,small_molecule,small_molecule,nitric_oxide,phase_3,"Develops nitric oxide-based therapies leveraging anti-microbial and immunomodulatory mechanisms for dermatology, women's health, and gastrointestinal diseases with lead program SB206 for molluscum contagiosum in Phase 3.",s1_filing,,,PITTSBORO,,,,,unknown,,,,,,,,,,,,2834,NC
"Obagi Medical Products, Inc.",0001375247,,2005-01-01,2006-09-13,acquired,dermatology,dermatology,other,topical_formulations,topical_formulations,"Vitamin C,hydroquinone",approved,"Develops prescription-strength topical skin health products and systems for dermatology conditions including aging, acne, hyperpigmentation, and rosacea using Penetrating Therapeutics technologies.",s1_filing,,,LONG BEACH,,,2013-04-25,,acquired,,,,,,,,,,,,2834,CA
"Ocata Therapeutics, Inc.",0001140098,,2008-01-01,2009-10-13,acquired,ophthalmology,"ophthalmology,cardiovascular,cns,metabolic,oncology,hematology,dermatology,respiratory",other,cell_therapy,cell_therapy,"RPE,myoblasts,hemangioblasts",phase_2,Develops stem cell therapies including embryonic stem cell-derived retinal pigment epithelium cells for macular degeneration and autologous myoblast transplantation for heart failure.,s1_filing,,,MARLBOROUGH,,,2016-02-10,,acquired,,,,,,,,,,,,2834,MA
"Ocean Biomedical Holdings, Inc.",0001836612,,2021-02-01,2021-06-09,ipo_withdrawn,,,,,,,unknown,A biopharmaceutical company that licenses inventions from research universities and medical centers to develop products addressing diseases with significant unmet medical needs,s1_filing,,,PROVIDENCE,,,2023-02-16,,ipo_withdrawn,,,,,,,,,,,,2834,RI
"Ocean Biomedical, Inc.",0001869974,OCEA,2021-06-01,2021-07-19,trading,,,unknown,unknown,,,unknown,"A biopharmaceutical company that licenses inventions and technologies from research universities and medical centers to develop products addressing diseases with significant unmet medical needs, with current assets licensed from Brown University and Rhode Island Hospital",s1_filing,,,NEW YORK,0.001,PNK,,,,232365,1084,2023-02-15,6.03,2026-02-03,0.0,2023-02-23,10.8,79.1,0.0,-100.0,2834,NY
"OCULAR THERAPEUTIX, INC",0001393434,OCUL,2014-01-01,2014-06-20,trading,ophthalmology,ophthalmology,other,drug_delivery_system,"drug_delivery_system,hydrogel_technology","VEGF,dexamethasone,travoprost",approved,"Develops bioresorbable hydrogel-based drug delivery systems for sustained release of therapeutic agents to treat eye diseases, including punctum plugs and intravitreal depots.",s1_filing,,-3.6,BEDFORD,8.65,NGM,,,,1842860544,4212,2014-07-25,13.15,2026-02-04,8.65,2015-03-24,43.27,229.0,2.08,-34.2,2834,MA
"Odonate Therapeutics, Inc.",0001717452,,2013-03-01,2017-11-13,delisted,oncology,oncology,small_molecule,small_molecule,small_molecule,"taxanes,HER2,CDK4/6",phase_3,"Develops tesetaxel, an oral taxane chemotherapy agent for the treatment of metastatic breast cancer with improved tolerability and quality-of-life advantages over current intravenous taxanes.",s1_filing,,,NEW YORK,,,2022-02-07,,delisted,,,,,,,,,,,,2834,NY
Old API Wind-down Ltd.,0001660719,,2015-05-01,2015-12-31,ipo_withdrawn,cardiovascular,"cardiovascular,gastroenterology,cns",small_molecule,small_molecule,small_molecule,"PPI,aspirin,omeprazole,naproxen,sumatriptan",approved,"Develops combination small molecule products containing proton pump inhibitors with aspirin or NSAIDs for cardiovascular protection and gastrointestinal safety, including approved products VIMOVO and Treximet.",s1_filing,,,VANCOUVER,,,2017-03-24,,ipo_withdrawn,,,,,,,,,,,,2834,A1
"Omthera Pharmaceuticals, Inc.",0001477598,,2008-11-01,2013-03-11,acquired,,,,,,,,,,Parent and a rights agent selected by Parent and reasonably acceptable to the Company,,NEW JERSEY,,,2013-06-13,,acquired,,,,,,,,,,,,2834,NJ
"Oncolix, Inc.",0001584137,,2013-06-01,2013-11-19,unknown,oncology,oncology,biologic,protein,protein,prolactin receptor,phase_1,"Develops Prolanta, a genetically modified prolactin antagonist protein for treating ovarian cancer and other cancers by blocking prolactin receptor signaling.",s1_filing,,,HOUSTON,,,,,unknown,,,,,,,,,,,,2834,TX
OncoMed Pharmaceuticals Inc,0001302573,,2004-07-01,2012-05-11,acquired,oncology,"oncology,hematology",both,antibody,"antibody,bispecific,protein,small_molecule","DLL4,Notch2,Notch3,Notch1,Fzd7",phase_1,Develops monoclonal antibody therapeutics targeting cancer stem cells through Notch and Wnt signaling pathways for solid tumors and hematologic malignancies.,s1_filing,"Mereo, and Mereo MergerCo One Inc.",,REDWOOD CITY,,,2019-03-20,,acquired,,,,,,,,,,,,2834,CA
"Onconetix, Inc.",0001782107,ONCO,2018-10-01,2021-10-08,trading,oncology,oncology,other,diagnostic,"diagnostic,small_molecule",PSA,approved,"Develops and commercializes Proclarix, a protein-based blood diagnostic test for prostate cancer that helps physicians make biopsy decisions for patients with elevated PSA levels.",s1_filing,,-94.9,CINCINNATI,1.515,NCM,,,,2355849,1447,2022-02-18,195160.0,2026-02-04,1.51,2022-03-15,230860.0,18.3,1.41,-100.0,2834,OH
"Oncorus, Inc.",0001671818,,2015-01-01,2020-09-11,delisted,oncology,oncology,other,viral_immunotherapy,"viral_immunotherapy,gene_therapy","PD-1,CTLA-4,IL-12,CCL4,FLT3LG",phase_1,Develops viral immunotherapies using oncolytic HSV-1 and synthetic viral platforms to selectively attack tumor cells and stimulate immune responses against various solid tumors.,s1_filing,,,ANDOVER,,,2023-08-03,,delisted,,,,,,,,,,,,2834,MA
"One World Products, Inc.",0001622244,OWPC,2014-09-02,2014-11-24,trading,dermatology,dermatology,other,cannabis_derived_compounds,cannabis_derived_compounds,"CBD,THC",preclinical,"Develops cannabis and hemp-derived CBD and THC products for wellness applications including anti-inflammatory and anti-aging creams, energy drinks, and infused consumables.",s1_filing,,-52.1,LAS VEGAS,0.01,OQB,,,,1201087,2638,2018-11-15,2.04,2026-02-04,0.01,2019-03-13,4.1,101.0,0.01,-99.5,2834,NV
"OnKure Therapeutics, Inc.",0001637715,OKUR,2014-01-01,2021-03-19,trading,oncology,oncology,small_molecule,small_molecule,small_molecule,"PI3K,PI3Kα H1047R,PI3Kα E542K,PI3Kα E545K,PI3Kα H1047L",phase_1,"Develops selective small molecule inhibitors targeting specific PI3K mutations in cancer, with lead candidate OKI-219 targeting PI3Kα H1047R mutation in advanced breast cancer.",s1_filing,,-58.0,BOULDER,2.28,NGM,,,,30889896,1763,2021-04-08,150.0,2026-02-04,2.28,2021-04-08,150.0,0.0,1.83,-98.5,2834,CO
"OPIANT PHARMACEUTICALS, INC.",0001385508,,2005-06-21,2016-04-04,acquired,,,,,,,,,,"Parent, the Board also instructed the Company",,SANTA MONICA,,,2023-01-04,,acquired,,,,,,,,,,,,2834,CA
"Optec International, Inc.",0001557340,,2012-06-22,2014-09-29,delisted,,,other,natural_products,natural_products,,preclinical,"Develops natural pain relief products for pets, specifically chewable tablets for joint pain in dogs and horses, along with a foam pad device called Paw Pal to prevent joint injuries.",s1_filing,,,CARLSBAD,,,2019-02-27,,delisted,,,,,,,,,,,,2834,CA
"OptiNose, Inc.",0001494650,,2010-05-01,2017-09-18,acquired,respiratory,respiratory,small_molecule,small_molecule,small_molecule,corticosteroid,approved,"Develops specialty pharmaceutical products using proprietary nasal delivery technology for ENT and allergy conditions, with lead product XHANCE approved for chronic rhinosinusitis with nasal polyps.",s1_filing,"Paratek may not be completed in a timely manner or at all, which may adversely affect the Company",,YARDLEY,,,2025-04-15,,acquired,,,,,,,,,,,,2834,PA
Option Therapeutics Inc.,0002070577,,2025-05-01,2026-01-26,ipo_incomplete,gastroenterology,"gastroenterology,renal",small_molecule,small_molecule,small_molecule,vasopressin receptors,phase_2,"Develops BIV201, a continuous infusion formulation of terlipressin, to treat ascites and complications of advanced liver cirrhosis caused by MASLD, hepatitis, and alcoholism.",s1_filing,,,CARSON CITY,,,,,ipo_incomplete,,,,,,,,,,,,2834,NV
"Or-Ion Products, Inc.",0001452419,,2008-07-09,2008-12-17,ipo_withdrawn,,,,,,,,,,,,IRVING,,,2009-10-22,,ipo_withdrawn,,,,,,,,,,,,2834,TX
ORAMED PHARMACEUTICALS INC.,0001176309,ORMP,2002-04-12,2010-01-11,trading,metabolic,metabolic,biologic,protein,"protein,peptide",insulin,unknown,"Develops orally ingestible capsules for delivery of proteins and polypeptides, with a primary focus on oral insulin for diabetes treatment.",s1_filing,,-4.0,NEW YORK,3.41,NCM,,,,135882480,6854,2007-05-01,7.38,2026-02-04,3.41,2021-11-08,27.73,275.6,1.59,-53.8,2834,NY
"Orexigen Therapeutics, Inc.",0001382911,,2002-09-01,2006-12-19,acquired,cns,"cns,metabolic",small_molecule,small_molecule,small_molecule,,phase_3,"Develops combination therapies of generic drugs for CNS disorders including obesity, with lead candidates Contrave in Phase III trials and Empatic in Phase II development.",s1_filing,,,LA JOLLA,,,2011-07-26,,acquired,,,,,,,,,,,,2834,CA
Orgenesis Inc.,0001460602,ORGS,2008-06-05,2009-04-02,trading,,,,,,,,,,,-33.7,GERMANTOWN,0.6,PNK,,,,3102784,5075,2012-03-13,180.0,2026-02-03,0.6,2012-03-15,198.0,10.0,0.02,-99.7,2834,MD
"Oric Pharmaceuticals, Inc.",0001796280,ORIC,2014-08-01,2020-02-28,trading,oncology,oncology,small_molecule,small_molecule,small_molecule,"GR,CD73,PRC2,EGFR,HER2",phase_1,"Develops small molecule therapies to overcome resistance mechanisms in cancer, with lead candidate ORIC-101 targeting the glucocorticoid receptor in Phase 1b trials for prostate cancer and solid tumors.",s1_filing,,-14.4,SOUTH SAN FRANCISCO,10.48,NMS,,,,1020639616,2112,2020-04-24,25.77,2026-02-04,10.48,2020-12-24,39.8,54.4,2.44,-59.3,2834,CA
"Osteologix, Inc.",0001278129,,2003-01-01,2008-05-16,delisted,metabolic,metabolic,small_molecule,small_molecule,small_molecule,,phase_2,Develops strontium malonate (NB S101) for the treatment and prevention of osteoporosis and other bone and joint diseases.,s1_filing,,,GLEN ALLEN,,,2011-01-04,,delisted,,,,,,,,,,,,2834,VA
"OTONOMY, INC.",0001493566,,2008-01-01,2014-07-11,acquired,otology,otology,other,sustained_exposure_drug_delivery,"sustained_exposure_drug_delivery,antibiotic,steroid",,phase_3,"Develops sustained-exposure drug delivery therapeutics for ear disorders including middle ear effusion, Ménière's disease, and tinnitus.",s1_filing,,,SAN DIEGO,,,2018-01-22,,acquired,,,,,,,,,,,,2834,CA
OTR Acquisition Corp.,0001821318,,2020-07-23,2020-08-18,acquired,,,,,,,unknown,This is a blank check company (SPAC) that has not yet identified a business combination target and currently has no drug pipeline or biotech operations,s1_filing,,,MIAMI,,,2022-04-15,,acquired,,,,,,,,,,,,2834,FL
"Oxeia Biopharmaceuticals, Inc.",0001610315,,2014-03-19,2022-04-14,ipo_withdrawn,cns,cns,biologic,peptide,peptide,ghrelin receptor,phase_2,Develops ghrelin peptide hormone therapy OXE103 for neurocognitive conditions including mild traumatic brain injury (concussion) and Long Covid neurological symptoms.,s1_filing,,,SAN DIEGO,,,2022-06-08,,ipo_withdrawn,,,,,,,,,,,,2834,CA
"PALVELLA THERAPEUTICS, INC.",0001583648,PVLA,2013-05-24,2013-08-20,trading,rare_disease,"rare_disease,dermatology",small_molecule,small_molecule,small_molecule,"mTOR,PI3K",phase_3,Develops topical rapamycin formulations using their QTORIN platform to treat rare genetic skin diseases including microcystic lymphatic malformations and cutaneous venous malformations.,s1_filing,,-8.5,WAYNE,81.915,NCM,,,,969586112,4051,2015-01-02,220.0,2026-02-04,81.92,2018-02-13,756.0,243.6,6.53,-62.8,2834,PA
"Pandion Therapeutics, Inc.",0001807901,,2017-01-01,2020-06-26,acquired,immunology,"immunology,gastroenterology,metabolic,dermatology,renal",biologic,protein,"protein,antibody","IL-2,PD-1,MAdCAM,CD39,TNF",phase_1,"Develops engineered protein therapeutics using their TALON platform to create immunomodulatory drugs for autoimmune diseases, with lead candidate PT101 targeting Treg cell expansion for ulcerative colitis treatment.",s1_filing,,,WATERTOWN,,,2021-04-01,,acquired,,,,,,,,,,,,2834,MA
"PAR PHARMACEUTICAL HOLDINGS, INC.",0001559149,,2012-07-12,2015-03-13,ipo_withdrawn,metabolic,"metabolic,hematology,infectious_disease,ophthalmology",small_molecule,small_molecule,small_molecule,,approved,Develops and markets generic pharmaceutical products across multiple dosage forms and two branded products including Nascobal nasal spray for pernicious anemia and Megace ES for AIDS-related cachexia.,s1_filing,,,CHESTNUT RIDGE,,,2015-09-25,,ipo_withdrawn,,,,,,,,,,,,2834,NY
"PARDES BIOSCIENCES, INC.",0001822711,,2011-01-01,2021-01-26,acquired,infectious_disease,infectious_disease,small_molecule,small_molecule,small_molecule,"Mpro,cysteine proteases",phase_1,Develops oral small molecule direct acting antivirals targeting coronaviral cysteine proteases for treatment and prevention of SARS-CoV-2 and other coronavirus infections.,s1_filing,,,CARLSBAD,,,2023-08-31,,acquired,,,,,,,,,,,,2834,CA
Pasithea Therapeutics Corp.,0001841330,KTTA,2020-05-12,2021-04-13,trading,cns,"cns,rare_disease,oncology",small_molecule,small_molecule,small_molecule,"MEK,MAPK,RAS,NF1,RAF",phase_1,"Develops small molecule MEK inhibitors primarily targeting CNS disorders, RASopathies, and MAPK pathway-driven tumors with lead candidate PAS-004 in Phase 1 trials for neurofibromatosis type 1 and advanced tumors.",s1_filing,,-63.7,MIAMI BEACH,0.83,NCM,,,,19165582,1603,2021-09-15,71.2,2026-02-04,0.83,2021-11-23,112.0,57.3,0.29,-98.8,2834,FL
Patheon N.V.,0001643848,,2014-03-11,2015-06-08,acquired,,,both,contract_services,"small_molecule,biologic,contract_services",,unknown,"Patheon is a contract development and manufacturing organization (CDMO) that provides outsourced pharmaceutical development and manufacturing services for both small molecule and large molecule biological drugs, rather than developing its own drug pipeline.",s1_filing,Thermo Fisher Scientific Inc.,,AMSTERDAM SCHIPHOL,,,2017-06-27,,acquired,,,,,,,,,,,,2834,P7
PDS Biotechnology Corp,0001472091,PDSB,2009-01-01,2015-08-14,trading,oncology,oncology,biologic,vaccine,vaccine,"HPV16,PD-1",phase_2,Develops cancer immunotherapy vaccines using the Versamune platform to stimulate HPV-specific CD8+ T-cell responses for treating HPV-related cancers.,s1_filing,,-42.4,PRINCETON,0.7302,NCM,,,,39957500,3780,2015-09-30,220.0,2026-02-04,0.73,2015-10-20,469.8,113.5,0.65,-99.7,2834,NJ
PENINSULA PHARMACEUTICALS INC,0001145975,,2001-02-01,2003-12-16,ipo_withdrawn,infectious_disease,infectious_disease,small_molecule,small_molecule,small_molecule,,phase_2,"Develops antibiotics for the treatment of patients with life-threatening infections, with lead product doripenem for injection completed phase II trials and two additional antibiotics in development.",s1_filing,,,ALAMEDA,,,2005-06-23,,ipo_withdrawn,,,,,,,,,,,,2834,CA
PepGen Inc.,0001835597,PEPG,2021-11-01,2022-04-15,trading,rare_disease,"rare_disease,cns",other,rna,rna,"dystrophin,DMPK,MBNL1",phase_1,Develops oligonucleotide therapeutics using Enhanced Delivery Oligonucleotide (EDO) platform for treating neuromuscular diseases like Duchenne muscular dystrophy and myotonic dystrophy type 1.,s1_filing,,-22.9,BOSTON,4.85,NMS,,,,333428864,1370,2022-05-06,12.89,2026-02-04,4.85,2024-07-26,18.55,43.9,1.0,-62.4,2834,MA
PERFORMANCE HEALTH HOLDINGS CORP.,0001612047,,2012-10-01,2016-04-22,ipo_withdrawn,,,,,,,,,,,,AKRON,,,2016-07-01,,ipo_withdrawn,,,,,,,,,,,,2834,OH
"Pernix Sleep, Inc.",0001339455,,2003-08-01,2005-10-07,acquired,cns,"cns,psychiatry",small_molecule,small_molecule,small_molecule,"H1 receptor,opioid receptor,GABA receptor",phase_3,"Develops small molecule therapies for psychiatric and neurological disorders including insomnia, pathological gambling, and movement disorders.",s1_filing,"Golf Trust of America, Inc.",,SOLANA BEACH,,,2013-02-07,,acquired,,,,,,,,,,,,2834,CA
Pfenex Inc.,0001478121,,2005-01-01,2014-06-05,acquired,,,,,,,,,,,,SAN DIEGO,,,2020-09-30,,acquired,,,,,,,,,,,,2834,CA
